metric,direction,anchor_first7_mean,final_run_value,theil_sen_slope_per_run,projected_drift_pct_30d,signed_drift_pct_30d_bad_positive,mann_kendall_tau,mk_p_value,fail_threshold_pct,pct_of_fail_budget_consumed
exporter_send_latency_p50_ms,increase_is_bad,17.896097495151093,18.271815809508347,0.005181780624666218,0.8396894247812189,0.8396894247812189,0.07586206896551724,0.568058623631595,10.0,8.396894247812188
exporter_send_latency_p95_ms,increase_is_bad,55.75347983925335,56.70436213827077,0.02483853087363741,1.291968496697033,1.291968496697033,0.167816091954023,0.1989481007752456,10.0,12.919684966970332
exporter_send_latency_p99_ms,increase_is_bad,141.57023236780083,146.190193634457,0.2648004683335472,5.424313751016666,5.424313751016666,0.4896551724137931,0.00015538682123561465,15.0,36.16209167344444
processor_batch_send_latency_p99_ms,increase_is_bad,37.472488943344096,37.122165293054266,0.028909055185648316,2.2372749289521425,2.2372749289521425,0.19540229885057472,0.13396533563924473,15.0,14.915166193014283
queue_wait_time_p99_ms,increase_is_bad,69.61436925437518,68.34609234639458,-0.027426735743939952,-1.1425447721402293,-1.1425447721402293,-0.08505747126436781,0.5206932698330875,20.0,-5.712723860701146
spans_per_second,decrease_is_bad,11819.42567828922,11739.45849917315,-1.6604021495526964,-0.4073942647270643,0.4073942647270643,-0.052873563218390804,0.6946868300138667,-10.0,-4.073942647270643
metric_points_per_second,decrease_is_bad,57576.1399053402,57411.18377584031,13.078863848137392,0.6587573467404428,-0.6587573467404428,0.14482758620689656,0.2686642304239093,-10.0,6.587573467404428
logs_per_second,decrease_is_bad,23037.528452060455,22642.472814682867,-6.288079013858286,-0.7915531901842565,0.7915531901842565,-0.08045977011494253,0.5441196833389506,-10.0,-7.915531901842566
export_success_ratio,decrease_is_bad,0.9996193350798949,0.9994643025774759,1.5913470282112276e-06,0.004616663783762958,-0.004616663783762958,0.052873563218390804,0.6946868300138667,,
cpu_ns_per_span,increase_is_bad,12343.720796970374,12663.543178011983,15.322392192182937,3.599800909968457,3.599800909968457,0.4482758620689655,0.0005378530133013371,10.0,35.99800909968457
cpu_peak_percent,increase_is_bad,72.33920084170038,73.13657784997946,0.011021292129145733,0.4418316321252208,0.4418316321252208,0.06206896551724138,0.6427431760684215,10.0,4.418316321252208
heap_bytes_per_span,increase_is_bad,3189.3666902813284,3171.214047213951,4.105343013532729,3.7328710980532476,3.7328710980532476,0.3793103448275862,0.0034342921262227044,15.0,24.88580732035498
rss_peak_mib,increase_is_bad,421.4469228840241,419.00686373427607,0.13107437560200452,0.9019301568145872,0.9019301568145872,0.14942528735632185,0.2535263593015791,10.0,9.019301568145872
gc_pause_p99_ms,increase_is_bad,3.2001203770237447,3.2279403368594566,0.001453795090218217,1.3174522408291103,1.3174522408291103,0.11724137931034483,0.3723653021980269,25.0,5.269808963316441
dropped_spans_ratio,increase_is_bad,2.9602575194211812e-05,2.9302018448737755e-05,-1.754882520473081e-08,-1.7191610108187538,-1.7191610108187538,-0.02528735632183908,0.8584007529637274,,
queue_saturation_max,increase_is_bad,0.4247638864195463,0.43433704187468647,0.00023591484911755778,1.610666735837256,1.610666735837256,0.11264367816091954,0.3917934361895803,20.0,8.053333679186279
retry_ratio,increase_is_bad,0.003018336363506519,0.0030970059992298346,-3.683551313787836e-07,-0.3539134650180168,-0.3539134650180168,-0.020689655172413793,0.8865048064138312,,
